MovieID,Cleaned_Summary,Genre_List,summary_arabic,summary_urdu,summary_spanish
8464511,eric mcnally gay retired hockey player turned television sportscaster life partner sam sport lawyer sam unexpectedly becomes legal guardian brother stepson scot life turned upside erics unwillingness become parent eventually fade scot teach eric accepting loving true self,"['Comedy', 'Drama', 'Gay', 'Gay Interest', 'Gay Themed', 'Indie', 'LGBT']",(هاري) ، (سام) ، محامية الرياضة (سام) ، (سام) الغير متوقع أن تصبح أخاً وصياً شرعياً,غیرمتوقع طور پر غیرمتوقع طور پر غیرمتوقع طور پر پولیس والے اپنے والدین کو حقیقی محبت کی تعلیم دینے والے بھائی کی تعلیم کو قبول کرنے میں ناکام ہو جاتے ہیں ۔,eric mcnally gay jugador de hockey retirado convertido en televisión sportscaster vida socio sam deporte abogado sam inesperadamente se convierte en tutor legal hermano hijastro scot vida al revés erics renuencia a convertirse en padre finalmente se desvanece scot enseñar Eric aceptar amor verdadero yo
8880229,set early th century new england patuxet captured english settler returned england escape group men sell back new england along epenow nauset marthas vineyard soon becomes friend massachusetts seems english squantos follower argument leading crew massacred night find village sacked destroyed thus meeting pilgrim plymouth rock stop war breaking another native american group europe squanto epenow savage welldressed englishman headed sir george repugnant nobleman owns ship pursues ridicule persecution two creature brought back welcome squanto get thrown ring giant bear battle becomes spectacle english using superior athleticism squanto able escape row boat he discovered he lying unconscious rocky shore finder trio monk fishing squanto taken monastery spite reluctancy head brother paul monk offer open arm brother daniel becomes mentor friend squanto brother daniel squanto learns english time imparts knowledge world new housemate introducing mocassin popcorn brother paul remains skeptical pagan possibility new world meanwhile sir george firmly belief squanto belongs plymouth printing company men hunt another cinematic sequence squanto pull improbable escape accompany epenow crew setting sail back america squanto return devastates tribe entirely killed illness european brought epenow wish turn violent english mistreated englishman nauset tribe ready battle squanto manages settle thing peacefully last scene film portray first thanksgiving celebration,"['Adventure', 'Docudrama', 'Drama', 'Family Drama', 'Family Film', 'Historical fiction']",في وقت مبكر من القرن العشرين، أعيدت مجموعة المهاجرين إلى المجموعة الأصلية التي أعيدت إليها مجموعة الإنكلسنت التي تقوم ببيعها إلى بلد جديد على غرار ما يلي: على سبيل المثال: على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، يبدو أن الجدة التالية على سبيل المثال: على سبيل المثال: على سبيل المثال: على سبيل المثال: على سبيل الذبح، على القرية التي تم تدميرها، على الحرب التي تحطّم بها جماعة أمريكية أخرى، على سبيل المثال: على سبيل المثال، على سبيل المثال، على سبيل المثال: على سبيل المثال: على سبيل المثال: على سبيل المثال، على سبيل المثال: على سبيل المثال، على سبيل المثال، على سبيل المثال: على سبيل المثال: على سبيل المثال: على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال:,گزشتہ صدی کے اوائل میں ، نیا نیا نیا عہدر لا گکرکرکرکرکرکرکرکرکک نے نئے گروپ کو واپس بلا لیا اور نئے اشخاص کو واپس بلا لیا، جو کہ ایک دوست کے ساتھ ملکککککککککر کے ساتھ مل کر حملہ کرنے والے دوست ہو گئے ہیں، بہت جلد ہی میں ایک دوسرے بھائی کو قتل کر دیا گیا، جو کہ ایک دوسرے کے گھروں کو تباہ کر بیٹھے ہوئے تھے، اور گھروں کو تباہ کر دیا گیا،,Set a principios del siglo nuevo england patuxet capturado colono inglés regresó grupo de escape england hombres venden nuevo england a lo largo de epenow nauset marthas viñedo pronto se convierte en amigo massachusetts Inglés squantos discusión líder tripulación masacrado noche encontrar aldea saqueada así encontrar peregrino plymouth rock stop guerra romper otro grupo americano nativo europe squanto epenow salvaje bien vestido inglés jefe sir george repugnant nobleman dueño barco persigue ridiculez persecución dos criatura traído de vuelta bienvenida squanto conseguir lanzado ring gigante oso batalla se convierte en espectáculo Inglés usando atletismo superior squanto capaz escapar fila barco descubrió que yacía inconsciente rocoso staker trio monje pesca squanto tomado monasterio a pesar de reluctancia cabeza hermano paul monje ofrece brazo abierto hermano Daniel se convierte en mentor amigo squanto hermano daniel squanto aprender inglés tiempo imparte conocimiento mundo nuevo compañero de casa introduciendo mocassin popcornio hermano paul monje
11669228,dan dash dashiell retired olympic skier work ski resort mountain utah restricted side mountain dr april sommers working creating new breed spider several others group teen skier arrives mountain chad challenge dash race two show impressive move others look dash reach large rocky slope turn back go another way rather risk leg injury like one ruined career dash make bottom meet dr sommers talk frank take teen inside resort brief discussion dr sommers return lab find dead scientist everywhere find sole survivor cocooned spider web warns dr sommers spider escaping slowly dy turn leave last spider remaining lab mutated black widow attack force locked office find alarm engages alert professor mark army captain baker elsewhere mountain location meanwhile back lodge dash meet ranger rick asks dash assist finding two hunter return home find hunter truck parked dismount snowmobile take look around dash find mutilated elk think killed bear shoot flare summon rick rick arrives find body one hunter reach huge spider web find hunter cocooned web turn run rick snagged web dragged spider kill dash watch horror dash make back hunter truck hotwires get away back lab professor mark captain baker squad soldier enter compound find dr sommers try warn danger inside lab spider attack kill soldier dr sommers steal record experiment realizes professor mark deliberately accelerated spider growth make larger faster stronger drive back lodge dr sommers meet frank johnny man come scream help frank dr sommers watch spider kill several guest including teen ski coach frank see teen hiding shed lead bus get safely inside chad get key drive crashing bus snow bank causing fly road dash return hotel help secure dr sommers search basement spider get almost attack stun fire extinguisher lock basement back lobby spider crawl chimney kill two guest dash impales antler mounted deer head meanwhile crashed bus checking area frank make sure kid okay however one unconscious injured think way get black widow try get eventually frank trap spider kid escape frank almost killed rescued thanks timely arrival captain baker squad back lodge dash devise plan captain baker radio trap spider take ski lead spider snowboard halfpipe baker men blocking johnny head toward avalanche cannon ands wait dash signal halfpipe spider captured dash signal johnny blow spider professor mark opposed killing spider charge dash try kill mark fall side halfpipe last spider kill baker shoot beast government agent arrived group military soldier begin erasing trace evidence agent demand survivor keep quiet recent event explains cover spill hallucinogenic chemical,"['Creature Film', 'Horror', 'Natural horror films', 'Science Fiction', 'Thriller']",(ب) أن يُشكّل، على سبيل المثال، على سبيل المثال، أن يُشكّل، على سبيل المثال، أن يُشكّل، على سبيل المثال، أن يُشكّل، على سبيل المثال، على سبيل المثال، أنْ يُنفّذ، على سبيل المثال، على سبيل المثال، أنْ يُنفّذ، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، وعلى سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال، على سبيل المثال,مثال کے طور پر اِن میں سے بعض کا کہنا ہے کہ گھروں میں اُن کے ساتھ اچھا سلوک نہیں کِیا جا سکتا ۔ اِس وجہ سے اُن کے پاس اُن کی حوصلہ‌افزائی کر سکتے ہیں کہ اُن کے گھروں کو آگ لگ رہی ہے اور اُن کی طرف سے اُن کی حوصلہ‌افزائی کریں کہ وہ اُن کی حوصلہ‌افزائی کریں اور اُن کی اچھی مثالوں پر غور کریں ۔,piercing feader rick rick rick atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant atlant altlant atlant atlant atlant atlant atlant atlant atlant atlant atlantlant atlantlant atlant atlant atlantlantlantlant atlant atlant atlant atlantlantlant atlant atlant atlantlantlant atlantlant atlantlantlant atlant atlantlant atlant atlant atlant atlant atlantlantlant atlant
161866,public relation man joe clay meet fall love kirsten arnesen secretary kirsten teetotaler joe introduces social drinking reluctant first first brandy alexander admits drink made feel good despite misgiving father run san mateo landscaping business get married daughter named debbie joe slowly go twomartini lunch fullblown alcoholism affect work due time kirsten succumb pleasure pain addiction joe demoted due poor performance brought much booze sent town business kirsten find best way pas time drink drink lot drunk one afternoon cause fire apartment almost kill child joe eventually get fired pr firm go job job next several year one day joe walk bar see reflection window go home say wife walked union square bar going go saw reflection window thought wonder bum saw look im bum look look youre bum look look u look u cmon look u see couple bum seeking escape addiction joe kirsten work together mr arnesens business succeed staying sober however urge strong latenight drinking binge joe destroys entire greenhouse fatherinlaws plant looking stashed bottle liquor commitment sanitarium joe finally get sober help alcoholic anonymous dedicated sponsor named jim hungerford regular aa meeting joe try help kirsten instead end drinking go liquor store closed night joe break store steal bottle resulting another trip sanitarium hungerford warns must keep sober matter even mean staying away kirsten explains joe alcoholic often demonstrate obsessive behavior pointing kirstens previous love chocolate may first sign addictive personality counsel drinker hate drink alone joe eventually becomes sober good responsible father child holding steady job try make amends fatherinlaw offering envelope full cash past debt wrong mr arnesen lash getting kirsten involved alcoholic lifestyle calming arnesen say kirsten disappearing long stretch time picking stranger bar one night debbie asleep kirsten come apartment attempt reconciliation joe see give could lead previous selfdestructive behavior kirsten longs going back way joe explains remember really booze threesome couple drunk sea booze boat sank got hold something kept going im going let go anyone want grab grab there room threesome kirsten refuse admit shes alcoholic acknowledge without alcohol cant get dirty everything look better give say debbie asks daddy mommy ever get well say didnt kirsten leaf joe fight urge go look street kirsten walking bar sign reflecting window,"['Addiction Drama', 'Black-and-white', 'Drama', 'Marriage Drama', 'Romance Film', 'Romantic drama']",(ب) أنّه على سبيل المثال، أنّه لا بدّ من أنّه لا بدّ من أنّكِ مُحقّة، لكنّكِ مُحقّةٌ جدّاً، لكنّكِ لا تُحقّقِينَ ذلكَ، لكنّكِ لا تُريدينَ أنْ تُفكّرِينَ أنّكِ مُحقّةٌ في ذلكَ، لكنّكِ مُحقّةٌ جدّاً، لكنّكِ مُتأكّدةٌ جدّاً، لكنّكِ مُتأكّدةٌ جدّاً، لكنّكِ مُتأكّدةٌ جدّاً، لكنّكِ مُتأكّدةٌ جدّاً، إنّي مُتأكّدةٌ جدّاً، إنّيّةٌ مُتأكّدةٌ جدّاً، إنّي مُتأكّدٌ جدّاً أنّاً مُتأكّداً أنّا مِنَا مِنٌ جدّاًا مِنٌ جدّا.,اِس کی وجہ یہ ہے کہ اُن کا کہنا ہے کہ اُن کا کہنا ہے کہ اُن کا کہنا ہے کہ اُن کا کہنا ہے کہ اُن کے ماں‌باپ کو اُن کی اِصلاح نہیں کرنی چاہیے ، اُنہیں اِس بات کا اِظہار کرنا چاہیے کہ اُن کی اِصلاح کریں یا اُن کی اِصلاح کریں ۔,weather weather weather weather weather weather weather weather weather weather weather wetter wetter wetter wetter wetter wetter wetter wetter wetter wetter wetter wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear wear
28596983,life seems idyllic marisa son jack poor performance school soccer match end jack hospital marisa trying find husband david interstate conference fact david planning leave marisa current mistress phone care world jack diagnosed leukaemia possibility cure david child one many fling could bone marrow donor marisa look back diary figure could affair go door knocking unsuspecting woman face desperate mother marisa search high low possibility full scale david infidelity revealed meanwhile jack befriends finn young irish boy next bed travelling world father connor initial disdain turn mutual respect marisa connor find way deal respective son illness,['Drama'],يبدو أنّ حياة (ماريسا) مُقرّرة، يا ابن (ماريسا)، قدّر أداء سيء، مباراة مباريّة مُؤدّية، مُباراة مُباراة مُمتازة، مُمتازة، مُمتازة، مُباراة مُؤازرة، مُباراة مُؤثّرة مُؤثّر مُؤخّرة مُؤخّرة، مُجدّرة مُؤخّر مُؤتمر مُؤخّر، مُؤخّر مُؤخّر مُؤخّر، مُؤخّر مُؤخّر، مُؤخّر، مُحقّر، مُحقّر، مُحقّر، مُحقّر، مُحقّر، مُحقّر، مُحقّر، مُحقّر، مُحقّن، مُحقّنْ، مُحقّة، مُحقّة، مُحقّة؟ مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة؟ة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة، مُحقّة؟ة، مُحقّة، مُحقّة، مُحقّة، مُحقّة؟,زندگی انتہائی غریب بچوں کی ہے جو اسکول اسکول میں رہ رہے ہیں جب تک کہ غیر یقینی طور پر غیر یقینی طور پر غیر یقینی طور پر ہسپتال داخل نہ ہو جائے۔,la vida parece idílico marisa hijo jack mala actuación escuela fútbol partido final gato hospital marisa tratando de encontrar marido David conferencia interestatal hecho david planificación dejar marisa actual amante atención telefónica mundo jack diagnóstico leucemia posibilidad cura david niño una muchas aventura podría donante de médula ósea marisa mirar atrás figura diario podría aventura ir puerta llamar a la mujer desprevenido cara desesperada madre marisa búsqueda alta baja posibilidad plena escala david infidelidad revelado mientras tanto jack befriends finn joven irlandés niño siguiente cama viaje mundo padre connor inicial desdén volver respeto mutuo marisa connor encontrar manera trato respectivo hijo enfermedad
22178122,countess angelina ruler bergamo southeastern europe marries mario baron known since childhood castle threatened hungarian hussar led colonel teglash wedding night mario flees midnight painting ancestral gallery come life subject ask francesca angelinas greatgreatgreatgreatgrandmother save castle th century spyglass francesca observes teglash leading advancing army find attracted see portrait teglash puzzled fact wearning ermine coat shoe angelina greets teglash flirt learns bridegroom escaped make clear respect marriage vow concerned husband safety angelinas servant luigi seeing smitten colonel mistress tell teglash three hundred year earlier francesca retained control castle tyrannical duke attempted seize via flashback see barefoot ermine present duke accompany tent period time francesca departs leaving duke dagger back lying dead bed luigi tell colonel according rumor killed duke feared falling love disguised gypsy mario return castle run soldier come investigate captured teglash unaware identity impressed musical ability decides spare marios life make personal gypsy realizes angelinas husband offer free dines night fails rendezvous francesca visit teglash asleep prompting dream angelina join dinner demand kiss embrace remove knife roast pig throw clock effectively stopping time two acknowledge love gallery portrait look fly crash roof following morning teglash awakens find knife still pig clock ticking angelina arrives teglash tell freeing husband describes dream touching obvious deep feeling mario arrives assures nothing colonel time pass teglash still mourns loss angelina one night asleep arrives fall asleep chair near bed teglash revisits prior dream time knife fall clock angelina stab awakens start find angelina tell mario left proposes wed night midnight portrait come life celebrate union song dance,"['Comedy', 'Fantasy', 'Musical']",(أ) أن تُسلّم بـ ((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((())))) ((((())))))) ((())) (((())) (((())))) ((ه)))) (()))) () () ((ب)))) ((ب))) ((ب)))) ((ب))) ((ب)))(ب)(ب)(ب)(ب)))))(ب)(ب)))(ب)(ج),اِس کی وجہ یہ ہے کہ اُن کا کہنا ہے کہ اُن کا کہنا ہے کہ اُن کے شوہر کو اِس بات کا احساس نہیں ہوتا کہ وہ اُن کی اِصلاح کر رہے ہیں ۔,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
3565252,story set late early small town mainland china middleaged couple three child eldest son obese mentally challenged social outcast constantly teased others second child daughter energetic independent isnt afraid anything pursue dream survive youngest child introverted quiet boy ashamed older brother try break away family misery breaking three section focusing one sibling peacock allows u look life ordinary chinese people immediately cultural revolution,"['Chinese Movies', 'Drama']",قصة في وقت متأخر من المدينة الصغيرة في الصين، الصين وسط وسطى ثلاثة أطفال أكبر ابناً بدين عقلياً منبوّه اجتماعياً منبوذاً بإستمرار ومضايقاً لأخرين من بنات الأطفال الثانيات، الابنة الثانيّة المُستقلّة... لا تخشى أنّ أيّ شيء مُتابعة للحُلُم ينجو من أصغر طفلٍ مُتطرّف صبيٍّ هاديءٍ خجلاً من أنّ الأخ الأكبر يُحاول أن يُنهي بؤس الأسرة مُحطماً ثلاثة أجزاء مُركّزاً على واحد يُركّز على طاووس طاووس واحد يُمكّنُك من النظر إلى حياة الشعب الصيني العادي فوراً على الفور,ابتدائی قصبے کے ابتدائی حصے میں ایک چھوٹے سے بڑے بیٹے کا تین بڑے بیٹے نے سوشل میڈیا کو ہمیشہ دوسروں سے علیٰحدہ رکھا اور ایک دوسرے سے الگ رکھا کہ وہ ایک دوسرے بچے کے خواب کی تلاش میں کسی بھی بات کا خوف نہ کر سکی جو کہ چھوٹے بچے کے خواب میں سب سے چھوٹے بچے کے خوابوں کو ختم کرنے کی کوشش کر رہا ہے,historia puesta tarde pequeña ciudad temprana China continental pareja de mediana edad tres hijo mayor obeso mentalmente desafió social marginado constantemente se burlaron de otros segundo hijo hija energética independiente no tiene miedo de cualquier cosa buscar sueño sobrevivir niño más pequeño introvertido niño tranquilo avergonzado hermano mayor tratar de romper la miseria familiar romper tres sección centrándose en un hermano pavo real permite u mirar la vida gente china ordinaria inmediatamente revolución cultural
1238102,film open bronx lieutenant drop two son catholic school leave car drive work lieutenant take small bump cocaine first case double murder wanders away scene get coffee across street watch petty thief rifling trunk parked car lieutenant ignores next scene detective approach group drug dealer run approach lieutenant follows one dealer apartment building stair dealer wait hallway lieutenant give bag drug crime scene lieutenant quickly smoke crack set aside portion drug thief promise give money make selling drug day apartment lieutenant get drunk engages threesome two woman meanwhile nun raped church two young hoodlum hospital lieutenant spy naked body examined doctor explain two boy also raped object like crucifix lieutenant listens statement say feeling animosity towards attacker see attack opportunity god grace bestowed next morning lieutenant passed couch home two young daughter watch tv family come table breakfast stir immediately flip tv see result national league championship series mets dodger realizing lost bet stumble house try win back money doubling wager next game series mets lost first three game certain dodger win wager stand afford pay film progress drug use drinking becomes prolific behavior spin control drinking driving listens final moment next game pennant series dodger lose shoot car stereo another crime scene rifle car find drug stash suit jacket however impaired secure drug fall onto street colleague look horror try play instructing enter drug evidence first communion one child double wager series bringing potential losings friend place bet urge deepen predicament lieutenant positive mets continue win team ever come back three straight loss begin series criminality deepens lieutenant pull two young girl borrowed father car go club without proper license force girl strip simulate oral sex masturbates mets win game series try double wager friend refuse make wager insisting bookie would kill nothing would suicidal owe lieutenant unwavering belief mets win series appears heavily identify darryl strawberry whose atbats real action shown series call bookie place bet bookie say think taking continuing drug use lieutenant pick share drug dealer sold evidence stolen go church nun raped find kneeling prayer altar nearstupor drinking drug use tell cop would run attacker system identify give justice implying kill repeat forgiven already get leaf lieutenant alone knee altar lieutenant suffers emotional breakdown see crucified christ standing aisle church tear begin hurl curse finally confessing weakness begging forgiveness crime crawl figure kiss bloody foot look see woman holding gold chalice woman tell two rapist pawned chalice husband store lieutenant track two rapist cuff together hold gunpoint light crack pipe smoke watch mets make historic comeback win pennant instead booking two rapist take port authority put bus cigar box containing insists take bus never come back new york city leaf terminal park street another car drive beside voice yell hey cop several shot ring film close bystander realize lieutenant murdered start gather around car,"['Crime Drama', 'Crime Fiction', 'Drama', 'Thriller']",(ب) دوران من هذا القبيل: دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل، دوران من هذا القبيل,اِس کی وجہ یہ ہے کہ اِس بیماری کا شکار ہونے والی دوا کا شکار ہو جانے کی وجہ سے اِس کا شکار ہو جاتے ہیں اور اِس وجہ سے اِس کی وجہ سے اُن کا علاج کر لیتے ہیں ۔,drog counter counter counter drog counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter counter countr
32998860,popular performer jeannie laird decides buy first house celebrate big party guest enjoyment interfered happening home next door neighbor bill carter carter comicstrip artist pride every story tell true life including yearold son joey raising alone relationship blossom bill jeannie shaky start neglected joey end blabbing bill boss comic strip adventure become far fiction fact,"['Comedy film', 'Musical']",المُؤدّي الشعبيّ (جيني ليرد) قرر أن يُشتري منزلاً أوّلاً في حفل حفل حفل حفل كبير للضيّف على حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله حفله التّدخّل التّدخّل في البيت المجاور لجار الجيران (بيل بيل كارتر كارتر كارتر قصص هزليّة كلّ قصّة تَعْرفُ كُلّ قصّة تَروي حياةً حقيقيّة بما في ذلك الإبن العام (جوي) الذي يُربّي علاقه وحيده (بيل جيني) مهززّز البدايّة المهملة لـ (جوي) في نهاية الثرثرة (بيل بيز) مغامرة رئيس مسرحيّة فكاهيّة صيديّة أصبحت حقيقة خيالية بعيدة,عام طور پر لوگوں کا کہنا ہے کہ گھر میں سب سے بڑا مہمان مہمان مہمان گھر خریدتا ہے اور گھر کے دروازے کے سامنے بڑی بڑی مہمان‌نوازی سے لطف‌اندوز ہوتا ہے اور ہر سال اُس شخص کی حقیقی کہانی بیان کرتا ہے جس کے بیٹے کی زندگی کے بارے میں سچ بولنا شروع ہو جاتی ہے اور جو صرف ایک ہی بچے کے ساتھ وابستہ تعلقات قائم کرنا شروع ہو جاتا ہے حقیقت کو حقیقت میں ختم کرنا شروع کر دیا جاتا ہے,artista popular jeannie laird decide comprar primera casa celebrar gran fiesta disfrute invitado interferido sucediendo en casa al lado vecino cuenta carter carter cómicstrip artista orgullo cada historia contar la vida verdadera incluyendo año viejo hijo joey levantamiento solo relación flor factura jeannie tembloroso comienzo descuidado joey extremo pico blabbing jefe proyecto de ley cómic aventura convertirse en hechos de ficción
1608510,year place badlands northeast brazil twentyyearold tonho middle son impoverished farm family breve next line kill die ongoing blood feud neighboring clan ferreiras generation two family quarreled land locked series titfortat assassination son eyeforaneye toothforatooth embedded choreography death particular code ethic blood volume everyone right take blood taken life suffused sense futility stoic despair pressure father tonho kill one ferreira son avenge murder older brother act mark next victim tonhos younger brother addressed kid family anticipating future loss parent dont give name kid imaginative loving child whose spirit break face harsh parenting brutalizing isolation numbing poverty kid love encourages tonho question fate tonho meet clara charming itinerant circus girl life possibility open,"['Crime Fiction', 'Drama', 'Family Drama', 'World cinema']",(ب) أن تأخذ دماً مُصاباً بالحس المُخْصَصَصَصَصَاً حَسّاً مِنْ حَسَسّاً خَطِطَةِ يَسْتَطِعُ أَبّاً لَنَانَا قَتْلَ نَحْنُ نَحْنُ فِي قَتْلِ نَحْنُ نَسْتَمِرُّ فِي قَتْلِ أَخٍ أَخٍ أَخٍ أَخْرَى قَدْ يَقْتَلَكَ أَحْضَرَنَا ٱلْأَوْلَدَاءَةَ ٱلْخَسِينَةَةَ ٱلْمُسْتَوْجِينَةَةَةَ لَنْ تَسْتَسْتَسْبَحُ إمكانيةَ حياةَ البنتِ,ایک سال میں خراب عرصے تک زندہ رہنے والے بچوں کے ساتھ قریبی رشتہ دار خاندانی تعلق رکھنے والے خاندانوں کو قتل کر دیا گیا ہے اور ان میں سے دو خاندانوں کو قتل کر رہے ہیں اور ان میں سے ایک سے دو بچے کو قتل کر رہے ہیں,Year place Badlands noreste Brasil veinte años tonho medio hijo pobre granja familia breve próxima línea matar muerte continua sangre enemistad vecino clan hurreiras generación dos familia peleada tierra cerrada serie titfortat asesinato hijo ojoparaaneo dienteforatooth incrustado coreografía muerte particular código ética sangre volumen todo el mundo derecho tomar sangre tomada vida sufused sentido futilidad estoica desesperación presión padre tonho matar un hurreira hijo vengar asesinato hermano mayor acto marca siguiente víctima tonhos hermano menor dirigida familia hijo previniendo futuras pérdidas padre no dar nombre niño imaginativo amor niño cuyo espíritu se rompe cara duro brutal aislamiento entumecimiento pobreza niño amor alienta tonho pregunta destino tonho conocer tonho encantadora vida chica circense abierto
